Nombre,Tipo,Tiempo de ejecución (ms)
12737142213900,12737142217900,4000
12737142218400,12737142220600,2200
12737142221200,12737142223700,2500
12737142224200,12737142226800,2600
12737142227400,12737142231000,3600
12737142231600,12737142234100,2500
12737142234600,12737142237800,3200
12737142238500,12737142240900,2400
12737142241500,12737142244100,2600
12737142244600,12737142248800,4200
12737142249300,12737142253200,3900
12737142253800,12737142256100,2300
12737142256700,12737142259600,2900
12737142261500,12737142264000,2500
12737142264700,12737142268200,3500
12737142268700,12737142272700,4000
12737142273300,12737142277200,3900
12737142277900,12737142281800,3900
12737142282500,12737142284900,2400
12737142285900,12737142289700,3800
12737142290400,12737142294100,3700
12737142294700,12737142298000,3300
12737142298600,12737142302700,4100
12737142303300,12737142305700,2400
12737142306300,12737142308600,2300
12737142309200,12737142311600,2400
12737142312200,12737142316200,4000
12737142316800,12737142320400,3600
12737142321000,12737142323600,2600
12737142324300,12737142326800,2500
12737142327600,12737142329900,2300
12737142330500,12737142334200,3700
12737142334800,12737142337200,2400
12737142337800,12737142341100,3300
12737142341700,12737142344600,2900
12737142345300,12737142347600,2300
12737142348200,12737142352400,4200
12737142353000,12737142356300,3300
12737142357000,12737142359400,2400
12737142360000,12737142363900,3900
12737142364600,12737142367800,3200
12737142368500,12737142370900,2400
12737142371500,12737142375600,4100
12737142376200,12737142380400,4200
12737142381000,12737142385000,4000
12737142385600,12737142389700,4100
12737142390300,12737142394100,3800
12737142394700,12737142397100,2400
12737142397800,12737142401200,3400
12737142401800,12737142405900,4100
12737142407800,12737142410400,2600
12737142411000,12737142415500,4500
12737142416100,12737142418400,2300
12737142418900,12737142421400,2500
12737142422000,12737142424400,2400
12737142424900,12737142428500,3600
12737142429100,12737142431500,2400
12737142432100,12737142435700,3600
12737142436400,12737142438800,2400
12737142439400,12737142441900,2500
12737142442700,12737142445700,3000
12737142446300,12737142449300,3000
12737142450000,12737142452600,2600
12737142453300,12737142455700,2400
12737142456300,12737142458700,2400
12737142459600,12737142463400,3800
12737142463900,12737142467100,3200
12737142467700,12737142470100,2400
12737142470700,12737142474600,3900
12737142475400,12737142477600,2200
12737142478200,12737142480600,2400
12737142481200,12737142483300,2100
12737142483900,12737142487100,3200
12737142487800,12737142490000,2200
12737142490500,12737142493200,2700
12737142493900,12737142497900,4000
12737142498500,12737142501900,3400
12737142502600,12737142505000,2400
12737142505700,12737142508300,2600
12737142508900,12737142512300,3400
12737142512900,12737142515500,2600
12737142516100,12737142519300,3200
12737142519900,12737142522300,2400
12737142522900,12737142525300,2400
12737142525900,12737142529600,3700
12737142530300,12737142532700,2400
12737142533400,12737142535800,2400
12737142538200,12737142540800,2600
12737142541300,12737142543700,2400
12737142544500,12737142547100,2600
12737142547700,12737142551500,3800
12737142552200,12737142554600,2400
12737142555200,12737142557700,2500
12737142558300,12737142562500,4200
12737142563100,12737142567100,4000
12737142567700,12737142571700,4000
12737142572300,12737142574700,2400
12737142575300,12737142578800,3500
12737142579500,12737142586700,7200
12737142587300,12737142591400,4100
12737142592000,12737142595200,3200
12737142595900,12737142598300,2400
12737142598900,12737142603700,4800
12737142607100,12737142609700,2600
12737142610300,12737142613100,2800
12737142615400,12737142617900,2500
12737142618500,12737142623000,4500
12737142623600,12737142627700,4100
12737142628500,12737142632400,3900
12737142633000,12737142638000,5000
12737142638800,12737142643100,4300
12737142643700,12737142646100,2400
12737142646900,12737142650000,3100
12737142650600,12737142654000,3400
12737142654600,12737142657200,2600
12737142657800,12737142660300,2500
12737142660900,12737142664700,3800
12737142665200,12737142667600,2400
12737142668200,12737142671900,3700
12737142672600,12737142675000,2400
12737142675600,12737142678400,2800
12737142678900,12737142682500,3600
12737142683100,12737142685500,2400
12737142686100,12737142690300,4200
12737142691000,12737142695000,4000
12737142695600,12737142699900,4300
12737142700600,12737142705000,4400
12737142705600,12737142708300,2700
12737142708800,12737142712800,4000
12737142713400,12737142717300,3900
12737142717900,12737142721900,4000
12737142722500,12737142724900,2400
12737142725500,12737142727800,2300
12737142728400,12737142730900,2500
12737142731500,12737142733900,2400
12737142734500,12737142738400,3900
12737142739200,12737142742600,3400
12737142743200,12737142745700,2500
12737142746200,12737142749900,3700
12737142755700,12737142758800,3100
12737142759500,12737142761900,2400
12737142762500,12737142764500,2000
12737142765100,12737142768800,3700
12737142769500,12737142771800,2300
12737142772800,12737142774800,2000
12737142775400,12737142777700,2300
12737142778300,12737142780500,2200
12737142781200,12737142783500,2300
12737142784100,12737142786800,2700
12737142788200,12737142792500,4300
12737142793500,12737142797800,4300
12737142798500,12737142802200,3700
12737142803200,12737142806200,3000
12737142807000,12737142810800,3800
12737142811900,12737142814700,2800
12737142816000,12737142819300,3300
12737142820300,12737142823400,3100
